Brand,Out Date,Operating System,Weight,Series,Smartphone,Operating interface,RAM Capacity,CPU speed,CPU generation,Screen Size,Number of cores,Screen Resolution,pixels,FPS,Screen Type,Water resistance,Colors,GPU,Front camera,Camera,Fingerprint reader,WiFi,Min price,Max price,NFC,Bluetooth,Battery capacity,Page number
Nokia,2020,לא זמין,88.2 גרם,לא זמין,טלפון רגיל,מקשי ספרות,לא זמין,לא זמין,לא זמין,2.4 אינטש,לא זמין,320x240‏ פיקסלים,לא זמין,לא זמין,TFT,לא זמין,לא זמין,Micro SD/T-Flash,לא זמין,לא זמין,לא זמין,לא זמין,339,339,ללא,3.0,"1,200 mAh",7
Nokia,2017,Android,160 גרם,5,סמארטפון,מסך מגע,לא זמין,1400 MHz,4,5.2 אינטש,8 ליבות,1280x720‏ פיקסלים,282 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,13 מגה פיקסל,כולל,כולל,39,1998,כולל,4.1,"3,300 mAh",7
Samsung,2020,Android,190 גרם,Galaxy S20,סמארטפון,מסך מגע,6GB,2730 2500 2000 MHz,4,6.5 אינטש,2+2+4,1080x2400‏ פיקסלים,407 ppi,לא זמין,לא זמין,IP68,לא זמין,Micro SD/T-Flash,32‏ מגה פיקסל,12 + 8 + 12 מגה פיקסל,כולל,כולל,1299,1737,כולל,5.0,"4,500 mAh",7
Nokia,2009,לא זמין,94 גרם,לא זמין,טלפון רגיל,מקשי ספרות,לא זמין,לא זמין,לא זמין,2.2 אינטש,לא זמין,240x320‏ פיקסלים,182 ppi,לא זמין,TFT,לא זמין,לא זמין,microSDHC,כולל‏ מגה פיקסל,3.2 מגה פיקסל,לא זמין,לא כולל,99,485,לא זמין,2.1,"1,860 mAh",7
Nokia,2010,Symbian,89.3 גרם,לא זמין,סמארטפון,מקשי ספרות,לא זמין,600 MHz,3.5,2.2 אינטש,ליבה אחת,לא זמין,182 ppi,לא זמין,TFT,לא זמין,לא זמין,Micro SD/T-Flash,0.3‏ מגה פיקסל,3.2 מגה פיקסל,לא זמין,לא כולל,399,399,לא זמין,2.0,"1,050 mAh",7
Google,2018,Android,148 גרם,Pixel 3,סמארטפון,מסך מגע,4GB,2500 1600 MHz,4,5.5 אינטש,4 + 4 ליבות,1080x2160‏ פיקסלים,443 ppi,לא זמין,P-OLED,IP68,לא זמין,ללא,8 + 8‏ מגה פיקסל,12.2 מגה פיקסל,כולל,כולל,750,919,כולל,5.0,"2,915 mAh",7
Modu,2010,לא זמין,לא זמין,לא זמין,לא זמין,מסך מגע,לא זמין,לא זמין,3,2.2 אינטש,לא זמין,240x320‏ פיקסלים,182 ppi,לא זמין,TFT,לא זמין,שחור,Micro SD/T-Flash,לא כולל‏ מגה פיקסל,ללא,לא זמין,לא כולל,199,199,לא זמין,2.1,500 mAh,7
Nokia,2020,Android,195 גרם,2.4,סמארטפון,מסך מגע,3GB,2000 MHz,4,6.5 אינטש,8 ליבות,720x1600‏ פיקסלים,270 ppi,לא זמין,"IPS, IPS LCD",ללא,לא זמין,Micro SD/T-Flash,5‏ מגה פיקסל,13 + 2 מגה פיקסל,כולל,כולל,499,590,ללא,5.0,"4,500 mAh",7
Apple,2021,iOS,204 גרם,iPhone 13,סמארטפון,מסך מגע,6GB,לא זמין,5,6.1 אינטש,2 + 4 ליבות,1170x2532‏ פיקסלים,460 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 +12 +12 מגה פיקסל,ללא,כולל,4790,6585,כולל,5.0,לא זמין,7
Samsung,2021,Android,203 גרם,Galaxy A72,סמארטפון,מסך מגע,8GB,2300 1800 MHz,4,6.7 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,394 ppi,90 Hz,Super AMOLED,IP67,לא זמין,microSDXC,32‏ מגה פיקסל,68 + 8 + 12 + 5 מגה פיקסל,כולל,כולל,1829,1829,אופציונאלי,5.0,"5,000 mAh",7
OPPO,2020,לא זמין,164 גרם,A93,סמארטפון,מסך מגע,8GB,2000 2200 MHz,4,6.43 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,409 ppi,לא זמין,Super AMOLED,ללא,לא זמין,microSDXC,16 + 2‏ מגה פיקסל,48 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,989,1179,ללא,5.1,"4,000 mAh",7
Nokia,2019,Android,180 גרם,לא זמין,סמארטפון,מסך מגע,6GB,2200 1800 MHz,4,6.3 אינטש,8 ליבות,1080x2280‏ פיקסלים,400 ppi,60 Hz,"IPS, IPS LCD",ללא,לא זמין,Micro SD/T-Flash,20‏ מגה פיקסל,48 + 8 + 5 מגה פיקסל,כולל,כולל,749,999,כולל,5.0,"3,500 mAh",7
Samsung,לא זמין,לא זמין,לא זמין,לא זמין,טלפון רגיל,מקשי ספרות,לא זמין,לא זמין,3.5,2.2 אינטש,לא זמין,לא זמין,לא זמין,לא זמין,TFT,לא זמין,שחור,Micro SD/T-Flash,לא כולל‏ מגה פיקסל,3 מגה פיקסל,ללא,לא זמין,399,399,לא זמין,כולל,לא זמין,7
Realme,2021,Android,180 גרם,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,4,6.43 אינטש,4 + 4 ליבות,1080x2400‏ פיקסלים,409 ppi,120 Hz,Super AMOLED,לא זמין,לא זמין,ללא,32‏ מגה פיקסל,64 + 8 + 2 מגה פיקסל,כולל,כולל,1160,1399,כולל,5.2,"4,300 mAh",7
Apple,2016,iOS,188 גרם,iPhone 7 Plus,סמארטפון,3D Touch,3GB,2230 MHz,4,5.5 אינטש,4 ליבות,1080x1920‏ פיקסלים,401 ppi,לא זמין,IPS,IP67,לא זמין,ללא,7‏ מגה פיקסל,12 + 12 מגה פיקסלים,כולל,כולל,1390,2989,כולל,4.2,"2,900 mAh",7
Nokia,2009,Symbian,128 גרם,לא זמין,סמארטפון,מקלדת Qwerty,לא זמין,600 MHz,3.5,2.36 אינטש,ליבה אחת,320x240‏ פיקסלים,169 ppi,לא זמין,TFT,לא זמין,לא זמין,Micro SD/T-Flash,0.3‏ מגה פיקסל,5 מגה פיקסל,לא זמין,כולל,99,349,לא זמין,2.0,"1,500 mAh",7
OPPO,2021,Android,175 גרם,לא זמין,סמארטפון,מסך מגע,6GB,1800 2000 MHz,4,6.43 אינטש,4 + 4 ליבות,1080x2400‏ פיקסלים,409 ppi,לא זמין,AMOLED,לא זמין,לא זמין,microSDXC,16‏ מגה פיקסל,48 + 2 + 2 מגה פיקסל,כולל,כולל,879,879,ללא,5.0,"5,000 mAh",7
OnePlus,2021,Android,197 גרם,9,טלפון רגיל,מסך מגע,8GB,2840 2420 1800 MHz,5,6.7 אינטש,1+3+4,1440x3216‏ פיקסלים,525 ppi,120 Hz,Fluid AMOLED,ללא,לא זמין,ללא,16‏ מגה פיקסל,48 + 8 + 50 + 2 מגה פיקסל,כולל,כולל,2390,3149,כולל,5.2,"4,500 mAh",7
Xiaomi,לא זמין,Android,202 גרם,לא זמין,סמארטפון,מסך מגע,6GB,2000 2050 MHz,4,6.67 אינטש,לא זמין,1080x2400‏ פיקסלים,395 ppi,120 Hz,Super AMOLED,IP53,לא זמין,microSDXC,16‏ מגה פיקסל,108 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,990,1199,אופציונאלי,5.1,"5,000 mAh",7
Nokia,2020,Android,185 גרם,לא זמין,סמארטפון,מסך מגע,3GB,2000 1800 MHz,4,6.55 אינטש,8 ליבות,720x1600‏ פיקסלים,268 ppi,60 Hz,"IPS, IPS LCD",ללא,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,13 + 5 + 2 + 2 מגה פיקסל,כולל,כולל,549,549,כולל,4.2,"4,000 mAh",7
Nokia,2013,לא זמין,70.2 גרם,לא זמין,טלפון רגיל,מקשי ספרות,לא זמין,לא זמין,2,1.8 אינטש,לא זמין,128x160‏ פיקסלים,115 ppi,לא זמין,TFT,ללא,לא זמין,Micro SD/T-Flash,לא כולל‏ מגה פיקסל,0.3 מגה פיקסל,ללא,לא כולל,99,249,ללא,3.0,950 mAh,7
Xiaomi,2020,Android,196 גרם,Redmi 9C,סמארטפון,מסך מגע,3GB,2300 1800 MHz,4,6.53 אינטש,4 + 4 ליבות,720x1600‏ פיקסלים,269 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,5‏ מגה פיקסל,13 + 2 + 2 מגה פיקסל,כולל,כולל,550,659,ללא,5.0,"5,000 mAh",7
Nokia,2020,Android,161 גרם,4.2,סמארטפון,מסך מגע,3GB,1950 1450 MHz,4,5.71 אינטש,4 + 4 ליבות,720x1520‏ פיקסלים,295 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,13 + 2 מגה פיקסל,כולל,כולל,349,349,אופציונאלי,4.2,"3,000 mAh",7
Samsung,2019,Android,157 גרם,Galaxy S10,סמארטפון,מסך מגע,8GB,2700 2300 1900 MHz,4,6.1 אינטש,2+2+4,1440x3040‏ פיקסלים,550 ppi,לא זמין,Dynamic AMOLED,IP68,לא זמין,Micro SD/T-Flash,10‏ מגה פיקסל,12+12+16 מגה פיקסל,כולל,כולל,1299,1299,כולל,5.0,"3,400 mAh",7
Apple,2018,iOS,208 גרם,iPhone XS Max,סמארטפון,מסך מגע,4GB,לא זמין,4,6.5 אינטש,8 ליבות,1242x2688‏ פיקסלים,458 ppi,לא זמין,Super AMOLED,IP68,לא זמין,ללא,7‏ מגה פיקסל,12 + 12 מגה פיקסלים,לא זמין,כולל,2290,6649,כולל,5.0,לא זמין,7
OnePlus,2020,Android,180 גרם,OnePlus 8,סמארטפון,מסך מגע,8GB,2840 2420 1800 MHz,לא זמין,6.55 אינטש,2 + 2,1080x2400‏ פיקסלים,402 ppi,90 Hz,Fluid AMOLED,IP68,לא זמין,ללא,16‏ מגה פיקסל,48 + 16 + 2 גה פיקסל,כולל,כולל,1449,2200,כולל,5.1,"4,300 mAh",7
Xiaomi,2020,Android,209 גרם,Redmi Note 9S,סמארטפון,מסך מגע,6GB,2300 1800 MHz,4,6.67 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,395 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,16‏ מגה פיקסל,48 + 8 + 5 + 2 מגה פיקסל,כולל,כולל,878,898,ללא,5.0,"5,020 mAh",7
Nokia,2018,Android,172 גרם,6.1,סמארטפון,מסך מגע,4GB,2200 MHz,4,5.5 אינטש,8 ליבות,1080x1920‏ פיקסלים,403 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,16 מגה פיקסל,כולל,כולל,749,750,כולל,5.0,"3,000 mAh",7
Slider,לא זמין,לא זמין,לא זמין,לא זמין,טלפון רגיל,מקשי ספרות,לא זמין,לא זמין,לא זמין,2.4 אינטש,לא זמין,240x320‏ פיקסלים,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,Micro SD/T-Flash,לא זמין,0.3 מגה פיקסל,לא זמין,לא זמין,268,268,לא זמין,כולל,800 mAh,7
Samsung,2021,Android,196 גרם,לא זמין,סמארטפון,מסך מגע,3GB,לא זמין,4,6.5 אינטש,לא זמין,720x1600‏ פיקסלים,270 ppi,לא זמין,PLS LCD,לא זמין,לא זמין,microSDXC,5‏ מגה פיקסל,לא זמין,לא זמין,כולל,420,599,ללא,5.0,"5,000 mAh",7
Apple,2019,iOS,226 גרם,iPhone 11,סמארטפון,מסך מגע,6GB,לא זמין,4,6.5 אינטש,לא זמין,1242x2688‏ פיקסלים,458 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 + 12 מגה פיקסל,ללא,כולל,3590,3847,כולל,5.0,"3,500 mAh",7
Samsung,2019,Android,179 גרם,Galaxy A71,סמארטפון,מסך מגע,8GB,2200 1800 MHz,4,6.7 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,393 ppi,לא זמין,Super AMOLED,ללא,לא זמין,Micro SD/T-Flash,32‏ מגה פיקסל,64 + 12 + 5 + 5 מגה פיקסל,כולל,כולל,1150,1599,אופציונאלי,5.0,"4,500 mAh",7
Samsung,2019,Android,179 גרם,Galaxy A71,סמארטפון,מסך מגע,6GB,2200 1800 MHz,4,6.7 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,393 ppi,לא זמין,Super AMOLED,ללא,לא זמין,Micro SD/T-Flash,32‏ מגה פיקסל,64 + 12 + 5 + 5 מגה פיקסל,כולל,כולל,820,1469,אופציונאלי,5.0,"4,500 mAh",7
OPPO,2020,Android,173 גרם,לא זמין,סמארטפון,מסך מגע,8GB,1800 2200 2400 MHz,לא זמין,6.43 אינטש,1 + 1 + 6,1080x2400‏ פיקסלים,409 ppi,90 Hz,AMOLED,ללא,לא זמין,ללא,16‏ מגה פיקסל,48 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,1489,1489,כולל,5.1,"4,310 mAh",7
Apple,2016,iOS,138 גרם,iPhone 7,סמארטפון,3D Touch,2GB,לא זמין,4,4.7 אינטש,4 ליבות,750x1334‏ פיקסלים,326 ppi,לא זמין,IPS,IP67,לא זמין,ללא,7‏ מגה פיקסל,12 מגה פיקסל,כולל,כולל,1240,1247,כולל,4.2,לא זמין,7
Geemarc,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,449,699,לא זמין,לא זמין,לא זמין,7
OnePlus,2020,Android,184 גרם,Nord,סמארטפון,מסך מגע,12GB,2400 2200 1800 MHz,לא זמין,6.44 אינטש,1 + 1 + 6,1080x2400‏ פיקסלים,408 ppi,90 Hz,Fluid AMOLED,ללא,לא זמין,ללא,32 + 8‏ מגה פיקסל,48 + 8 + 5 + 2 מגה פיקסל,כולל,כולל,1350,1850,כולל,5.1,"4,115 mAh",7
Motorola,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,4GB,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,1165,1499,לא זמין,לא זמין,לא זמין,8
Realme,2021,Android,200 גרם,לא זמין,סמארטפון,מסך מגע,4GB,1800 1800 MHz,4,6.5 אינטש,לא זמין,720x1600‏ פיקסלים,270 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,לא זמין,כולל,כולל,679,679,ללא,5.0,"5,000 mAh",8
Nokia,2018,Android,138.3 גרם,3.1,סמארטפון,מסך מגע,2GB,1500 1000 MHz,4,5.2 אינטש,4 + 4 ליבות,720x1440‏ פיקסלים,310 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,13 מגה פיקסל,ללא,כולל,390,499,אופציונאלי,4.2,"2,990 mAh",8
OnePlus,2021,Android,192 גרם,9,טלפון רגיל,מסך מגע,12GB,2840 2420 1800 MHz,5,6.55 אינטש,1+3+4,1080x2400‏ פיקסלים,402 ppi,120 Hz,Fluid AMOLED,ללא,לא זמין,ללא,16‏ מגה פיקסל,48 + 50 + 2 מגה פיקסל,כולל,כולל,2399,3047,כולל,5.2,"4,500 mAh",8
Xiaomi,2018,Android,175 גרם,Mi 8,סמארטפון,מסך מגע,6GB,1800 2800 MHz,4,6.21 אינטש,4 + 4 ליבות,1080x2248‏ פיקסלים,402 ppi,לא זמין,Super AMOLED,ללא,לא זמין,Micro SD/T-Flash,20‏ מגה פיקסל,12 + 12 מגה פיקסלים,כולל,כולל,1899,1899,כולל,5.0,"3,400 mAh",8
Xiaomi,2020,Android,216 גרם,Mi 10T,סמארטפון,מסך מגע,8GB,2840 2420 1800 MHz,5,6.67 אינטש,1+3+4,1080x2400‏ פיקסלים,395 ppi,לא זמין,"IPS, IPS LCD",ללא,לא זמין,ללא,20‏ מגה פיקסל,64 + 13 + 5 מגה פיקסל,כולל,כולל,1590,1779,כולל,5.1,"5,000 mAh",8
OnePlus,2019,Android,190 גרם,7T,סמארטפון,מסך מגע,8GB,2960 3420 1780 MHz,4,6.55 אינטש,1 + 3 + 4,1080x2400‏ פיקסלים,402 ppi,90 Hz,Fluid AMOLED,ללא,לא זמין,ללא,16‏ מגה פיקסל,48 + 16 + 12,כולל,כולל,1490,1920,כולל,5.0,"3,800 mAh",8
Nokia,2021,Android,194 גרם,לא זמין,סמארטפון,מסך מגע,לא זמין,לא זמין,4,6.52 אינטש,4 + 4 ליבות,720x1600‏ פיקסלים,269 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,13 + 2 + 2 מגה פיקסל,כולל,כולל,649,649,ללא,5.0,"5,050 mAh",8
Xiaomi,2020,Android,208 גרם,Mi 10,סמארטפון,לא זמין,8GB,2840 2420 1800 MHz,5,6.67 אינטש,1 + 3 + 4,1080x2340‏ פיקסלים,386 ppi,90 Hz,Super AMOLED,ללא,לא זמין,ללא,20‏ מגה פיקסל,108 + 13 + 2 + 2 מגה פיקסל,כולל,כולל,1989,2288,כולל,5.1,"4,780 mAh",8
OnePlus,2020,Android,184 גרם,Nord,סמארטפון,מסך מגע,8GB,2400 2200 1800 MHz,לא זמין,6.44 אינטש,1 + 1 + 6,1080x2400‏ פיקסלים,408 ppi,90 Hz,Fluid AMOLED,ללא,לא זמין,ללא,32 + 8‏ מגה פיקסל,48 + 8 + 5 + 2 מגה פיקסל,כולל,כולל,1298,1650,כולל,5.1,"4,115 mAh",8
Samsung,2021,Android,203 גרם,לא זמין,סמארטפון,מסך מגע,4GB,2000 2200 MHz,4,6.6 אינטש,לא זמין,1080x2400‏ פיקסלים,399 ppi,90 Hz,TFT,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,48 + 5 + 2 מגה פיקסל,כולל,כולל,770,1017,אופציונאלי,5.0,"5,000 mAh",8
Samsung,2018,Android,163 גרם,Galaxy S9,סמארטפון,מסך מגע,4GB,2800 1700 MHz,4,5.8 אינטש,4 + 4 ליבות,1440x2960‏ פיקסלים,570 ppi,לא זמין,Super AMOLED,IP68,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,12 מגה פיקסל,כולל,כולל,2199,2299,כולל,5.0,"3,000 mAh",8
Xiaomi,2021,Android,215 גרם,Poco X3,סמארטפון,מסך מגע,6GB,2960 2420 1780 MHz,4,6.67 אינטש,1 + 3 + 4,1080x2400‏ פיקסלים,395 ppi,120 Hz,"IPS, IPS LCD",IP53,לא זמין,microSDXC,20‏ מגה פיקסל,48 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,964,1249,אופציונאלי,5.0,"5,160 mAh",8
Google,2019,Android,193 גרם,Pixel 4,סמארטפון,מסך מגע,6GB,2840 2420 1780 MHz,4,6.3 אינטש,1+3+4,1440x3040‏ פיקסלים,537 ppi,לא זמין,P-OLED,IP68,לא זמין,ללא,8‏ מגה פיקסל,12.2 + 16 מגה פיקסל,ללא,כולל,1230,1349,כולל,5.0,"3,700 mAh",8
Nokia,2018,Android,160 גרם,Nokia 7.1,סמארטפון,מסך מגע,4GB,1800 MHz,4,5.84 אינטש,8 ליבות,1080x2280‏ פיקסלים,432 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,12 + 5 מגה פיקסל,כולל,כולל,968,968,כולל,5.0,"3,060 mAh",8
Google,2021,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,12GB,לא זמין,4,לא זמין,לא זמין,1440x3120‏ פיקסלים,לא זמין,120 Hz,LTPO AMOLED,IP68,לא זמין,ללא,לא זמין,לא זמין,כולל,כולל,2174,4150,כולל,5.2,לא זמין,8
Samsung,2021,Android,173 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.7 אינטש,4 + 4 ליבות,1080x2400‏ פיקסלים,393 ppi,120 Hz,Super AMOLED Plus,לא זמין,לא זמין,microSDXC,32‏ מגה פיקסל,לא זמין,כולל,כולל,1250,1299,כולל,5.0,"5,000 mAh",8
Samsung,2019,Android,187 גרם,Galaxy A70s,סמארטפון,מסך מגע,6GB,1700 2000 MHz,4,6.7 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,393 ppi,לא זמין,Super AMOLED,לא זמין,לא זמין,microSDXC,32‏ מגה פיקסל,64 + 8 + 5 מגה פיקסל,כולל,כולל,1289,1349,כולל,5.0,"4,500 mAh",8
OnePlus,2020,Android,199 גרם,OnePlus 8 Pro,סמארטפון,מסך מגע,12GB,2840 2420 1800 MHz,5,6.78 אינטש,1 + 3 + 4,1440x3168‏ פיקסלים,513 ppi,120 Hz,Fluid AMOLED,IP68,לא זמין,ללא,16‏ מגה פיקסל,48 + 8 + 48 + 5 מגה פיקסל,כולל,כולל,2571,3499,כולל,5.1,"4,510 mAh",8
Samsung,2020,Android,185 גרם,Galaxy A71,סמארטפון,מסך מגע,8GB,1800 2200 MHz,4,6.7 אינטש,לא זמין,1080x2400‏ פיקסלים,393 ppi,לא זמין,Super AMOLED Plus,לא זמין,לא זמין,microSDXC,32‏ מגה פיקסל,64 + 12 + 5 + 5 מגה פיקסל,כולל,כולל,1559,1559,כולל,5.0,"4,500 mAh",8
Samsung,2018,Android,183 גרם,Galaxy A9,סמארטפון,מסך מגע,6GB,2200 1800 MHz,4,6.3 אינטש,4 + 4 ליבות,1080x2220‏ פיקסלים,392 ppi,לא זמין,Super AMOLED,ללא,לא זמין,Micro SD/T-Flash,24‏ מגה פיקסל,28 + 8 + 10 + 5 מגה פיקסל,כולל,כולל,1450,2229,כולל,5.0,"3,800 mAh",8
OnePlus,2020,Android,188 גרם,Nord,סמארטפון,מסך מגע,4GB,1600 1800 MHz,4,6.52 אינטש,4 + 4 ליבות,720x1600‏ פיקסלים,269 ppi,90 Hz,IPS,ללא,אפור,Micro SD/T-Flash,8‏ מגה פיקסל,13 + 2 + 2 מגה פיקסל,כולל,כולל,670,2790,ללא,5.0,"5,000 mAh",8
Nokia,2017,Android,140 גרם,לא זמין,סמארטפון,מסך מגע,2GB,1400 MHz,4,לא זמין,4 ליבות,720x1280‏ פיקסלים,294 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,8 מגה פיקסל,ללא,כולל,99,649,כולל,4.0,לא זמין,8
OnePlus,2020,Android,188 גרם,8,סמארטפון,מסך מגע,12GB,2840 2420 1800 MHz,5,6.55 אינטש,8 ליבות,1080x2400‏ פיקסלים,402 ppi,120 Hz,Fluid AMOLED,ללא,לא זמין,ללא,16‏ מגה פיקסל,48 + 16 + 5 + 2 מגה פיקסל,כולל,כולל,1850,2099,כולל,5.1,"4,500 mAh",8
Samsung,לא זמין,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,לא זמין,לא זמין,3.5,לא זמין,ליבה אחת,320x240‏ פיקסלים,לא זמין,לא זמין,TFT,ללא,לא זמין,Micro SD/T-Flash,לא כולל‏ מגה פיקסל,2 מגה פיקסל,ללא,כולל,209,300,לא זמין,3.0,"1,200 mAh",8
OnePlus,2018,Android,185 גרם,6T,סמארטפון,מסך מגע,8GB,2800 1700 MHz,4,6.4 אינטש,4 + 4 ליבות,1080x2340‏ פיקסלים,402 ppi,לא זמין,AMOLED,ללא,שחור,ללא,16‏ מגה פיקסל,16 + 20 מגה פיקסל,כולל,כולל,1999,3199,כולל,5.0,"3,700 mAh",8
Samsung,2021,Android,203 גרם,לא זמין,סמארטפון,מסך מגע,6GB,2000 2200 MHz,4,6.6 אינטש,לא זמין,1080x2400‏ פיקסלים,399 ppi,90 Hz,TFT,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,48 + 5 + 2 מגה פיקסל,כולל,כולל,999,999,אופציונאלי,5.0,"5,000 mAh",8
Google,2019,Android,167 גרם,Pixel 3a XL,סמארטפון,מסך מגע,4GB,1700 2000 MHz,4,6.0 אינטש,2 + 6 ליבות,1080x2160‏ פיקסלים,402 ppi,לא זמין,OLED,לא זמין,לא זמין,ללא,8‏ מגה פיקסל,12.2 מגה פיקסל,כולל,כולל,819,850,כולל,5.0,"3,700 mAh",8
OnePlus,2019,Android,182 גרם,7,סמארטפון,מסך מגע,6GB,2840 2420 1800 MHz,4,6.41 אינטש,1+3+4,1080x2340‏ פיקסלים,402 ppi,לא זמין,Optic AMOLED,ללא,לא זמין,ללא,16‏ מגה פיקסל,48 + 5 מגה פיקסל,כולל,כולל,1559,1897,כולל,5.0,"3,700 mAh",8
Xiaomi,2018,Android,221 גרם,Mi Max 3,סמארטפון,מסך מגע,6GB,1600 1800 MHz,4,6.9 אינטש,4 + 4 ליבות,1080x2160‏ פיקסלים,350 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,לא זמין,כולל,כולל,990,1190,ללא,5.0,"5,500 mAh",8
OnePlus,2019,Android,182 גרם,7,סמארטפון,מסך מגע,8GB,2840 2420 1800 MHz,4,6.41 אינטש,1+3+4,1080x2340‏ פיקסלים,402 ppi,לא זמין,Optic AMOLED,ללא,לא זמין,ללא,16‏ מגה פיקסל,48 + 5 מגה פיקסל,כולל,כולל,1989,1989,כולל,5.0,"3,700 mAh",8
Samsung,2020,Android,205 גרם,Galaxy A12,סמארטפון,מסך מגע,6GB,1800 2350 MHz,4,6.5 אינטש,4 + 4 ליבות,720x1600‏ פיקסלים,270 ppi,לא זמין,לא זמין,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,48 + 5 + 2 + 2 מגה פיקסל,כולל,כולל,720,887,אופציונאלי,5.0,"5,000 mAh",8
OnePlus,2019,Android,206 גרם,7T,סמארטפון,מסך מגע,8GB,2960 3420 1780 MHz,4,6.67 אינטש,1 + 3 + 4,1440x3120‏ פיקסלים,516 ppi,90 Hz,Fluid AMOLED,ללא,כחול,ללא,16‏ מגה פיקסל,48 + 8 + 16 מגה פיקסלים,כולל,כולל,2150,2485,כולל,5.0,"4,085 mAh",8
Apple,2018,iOS,194 גרם,iPhone XR,סמארטפון,מסך מגע,3GB,לא זמין,4,6.1 אינטש,8 ליבות,828x1792‏ פיקסלים,326 ppi,לא זמין,IPS,IP67,לא זמין,ללא,7‏ מגה פיקסל,12 מגה פיקסל,ללא,כולל,4349,5490,כולל,5.0,לא זמין,8
Google,2019,Android,147 גרם,Pixel 3a,סמארטפון,מסך מגע,4GB,2000 1700 MHz,4,5.6 אינטש,2 + 6 ליבות,1080x2220‏ פיקסלים,441 ppi,לא זמין,OLED,ללא,לא זמין,ללא,8‏ מגה פיקסל,12.2 מגה פיקסל,ללא,כולל,684,1029,כולל,5.0,"3,000 mAh",8
Samsung,2020,Android,205 גרם,Galaxy A12,סמארטפון,מסך מגע,4GB,1800 2350 MHz,4,6.5 אינטש,4 + 4 ליבות,720x1600‏ פיקסלים,270 ppi,לא זמין,PLS IPS,לא זמין,לא זמין,microSDXC,10 + 8‏ מגה פיקסל,48 + 5 + 2 + 2 מגה פיקסל,כולל,כולל,669,802,כולל,5.0,"5,000 mAh",8
Apple,2017,iOS,174 גרם,iPhone X,סמארטפון,3D Touch,3GB,לא זמין,4,5.8 אינטש,6 ליבות,1125x2436‏ פיקסלים,458 ppi,לא זמין,OLED,IP67,לא זמין,ללא,7‏ מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,1279,2289,כולל,5.0,לא זמין,8
