Brand,Out Date,Operating System,Weight,Series,Smartphone,Operating interface,RAM Capacity,CPU speed,CPU generation,Screen Size,Number of cores,Screen Resolution,pixels,FPS,Screen Type,Water resistance,Colors,GPU,Front camera,Camera,Fingerprint reader,WiFi,Min price,Max price,NFC,Bluetooth,Battery capacity,Page number
Samsung,2021,לא זמין,227 גרם,Galaxy S21,סמארטפון,מסך מגע,12GB,2900 2800 2200 MHz,5,6.8 אינטש,1+3+4,1440x3200‏ פיקסלים,515 ppi,120 Hz,Dynamic AMOLED 2X,IP68,לא זמין,Micro SD/T-Flash,40‏ מגה פיקסל,108 + 10 + 10 + 12 מגה פיקסל,כולל,כולל,2769,4199,כולל,5.0,"5,000 mAh",1
Apple,2021,iOS,204 גרם,iPhone 13,סמארטפון,מסך מגע,6GB,לא זמין,5,6.1 אינטש,2 + 4 ליבות,1170x2532‏ פיקסלים,460 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 +12 +12 מגה פיקסל,ללא,כולל,3000,4889,כולל,5.0,לא זמין,1
Apple,2021,iOS,240 גרם,iPhone 13,סמארטפון,מסך מגע,6GB,לא זמין,5,6.7 אינטש,2 + 4 ליבות,1284x2778‏ פיקסלים,458 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 +12 +12 מגה פיקסל,ללא,כולל,3998,5605,כולל,5.0,לא זמין,1
OnePlus,לא זמין,Android,201 גרם,לא זמין,סמארטפון,מסך מגע,12GB,לא זמין,4,6.7 אינטש,לא זמין,1440x3216‏ פיקסלים,525 ppi,120 Hz,לא זמין,IP68,לא זמין,ללא,32‏ מגה פיקסל,לא זמין,כולל,כולל,2510,3599,כולל,5.2,"5,000 mAh",1
Samsung,לא זמין,Android,177 גרם,Galaxy S21,סמארטפון,מסך מגע,8GB,1800 2420 2840 MHz,4,6.4 אינטש,1 + 3 + 4,1080x2400‏ פיקסלים,411 ppi,120 Hz,Dynamic AMOLED 2X,IP68,לא זמין,ללא,32‏ מגה פיקסל,לא זמין,כולל,כולל,1770,2507,כולל,כולל,"4,500 mAh",1
Samsung,לא זמין,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,12GB,לא זמין,4,7.6 אינטש,לא זמין,לא זמין,373 ppi,120 Hz,Foldable Dynamic AMOLED 2X,IPX8,לא זמין,ללא,4‏ מגה פיקסל,לא זמין,כולל,כולל,4690,5949,כולל,5.2,"4,400 mAh",1
Xiaomi,לא זמין,Android,202 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.67 אינטש,4 + 4 ליבות,לא זמין,לא זמין,120 Hz,AMOLED,לא זמין,לא זמין,ללא,20‏ מגה פיקסל,לא זמין,כולל,כולל,1870,2117,אופציונאלי,לא זמין,"5,000 mAh",1
Xiaomi,2020,Android,196 גרם,Mi 11,סמארטפון,מסך מגע,8GB,2840 2420 1800 MHz,לא זמין,6.81 אינטש,1+3+4,1440x3200‏ פיקסלים,515 ppi,120 Hz,AMOLED,ללא,לא זמין,ללא,20‏ מגה פיקסל,108 + 13 + 5 מגה פיקסל,כולל,כולל,2790,2790,כולל,5.2,"4,600 mAh",1
Apple,2020,iOS,189 גרם,iPhone 12 Pro,סמארטפון,מסך מגע,לא זמין,לא זמין,5,6.1 אינטש,6 ליבות,1170x2532‏ פיקסלים,460 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 + 12 מגה פיקסל,ללא,כולל,2549,4799,כולל,5.0,לא זמין,1
Xiaomi,2020,Android,194 גרם,Redmi 9A,סמארטפון,מסך מגע,2GB,2000 MHz,לא זמין,6.53 אינטש,8 ליבות,720x1600‏ פיקסלים,269 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,5‏ מגה פיקסל,13 מגה פיקסל,ללא,כולל,369,562,ללא,5.0,"5,000 mAh",1
Xiaomi,לא זמין,Android,178.8 גרם,לא זמין,סמארטפון,מסך מגע,6GB,2000 2050 MHz,4,6.43 אינטש,לא זמין,1080x2400‏ פיקסלים,409 ppi,לא זמין,AMOLED,IP53,לא זמין,microSDXC,13‏ מגה פיקסל,64 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,725,969,כולל,5.0,"5,000 mAh",1
Samsung,לא זמין,Android,192 גרם,לא זמין,סמארטפון,מסך מגע,4GB,1800 2300 MHz,4,6.5 אינטש,4 + 4 ליבות,720x1600‏ פיקסלים,270 ppi,לא זמין,PLS LCD,לא זמין,לא זמין,microSDXC,5‏ מגה פיקסל,לא זמין,לא זמין,כולל,433,600,ללא,5.0,"5,000 mAh",1
Samsung,2019,Android,196 גרם,Galaxy Note 10,סמארטפון,מסך מגע,12GB,2730 2400 1900 MHz,4,6.8 אינטש,2+2+4,1440x3040‏ פיקסלים,498 ppi,לא זמין,Dynamic AMOLED,IP68,לא זמין,Micro SD/T-Flash,10‏ מגה פיקסל,12 + 12 + 16 מגה פיקסל,כולל,כולל,1549,4139,כולל,5.0,"4,300 mAh",1
Samsung,2021,Android,189 גרם,Galaxy A52,טלפון רגיל,מסך מגע,8GB,2300 1800 MHz,5,6.5 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,407 ppi,120 Hz,Super AMOLED,IP67,לא זמין,microSDXC,32‏ מגה פיקסל,64 + 12 + 5 + 5 מגה פיקסל,כולל,כולל,1199,1499,אופציונאלי,5.0,"4,500 mAh",2
Samsung,2021,Android,200 גרם,Galaxy S21,סמארטפון,מסך מגע,8GB,2900 2800 2200 MHz,5,6.7 אינטש,1+3+4,1080x2400‏ פיקסלים,394 ppi,120 Hz,Dynamic AMOLED 2X,IP68,לא זמין,Micro SD/T-Flash,10‏ מגה פיקסל,12 + 64 + 12 מגה פיקסל,כולל,כולל,1950,2849,כולל,5.0,"4,800 mAh",2
Apple,2021,iOS,174 גרם,iPhone 13,סמארטפון,מסך מגע,4GB,לא זמין,5,6.1 אינטש,2 + 4 ליבות,1170x2532‏ פיקסלים,460 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,2945,4140,כולל,5.0,לא זמין,2
Samsung,2021,Android,169 גרם,Galaxy S21,סמארטפון,מסך מגע,8GB,2900 2800 2200 MHz,5,6.2 אינטש,1+3+4,1080x2400‏ פיקסלים,421 ppi,120 Hz,Dynamic AMOLED 2X,IP68,לא זמין,ללא,10‏ מגה פיקסל,12 + 64 + 12 מגה פיקסל,כולל,כולל,1950,2750,כולל,5.0,"4,000 mAh",2
Google,לא זמין,Android,212 גרם,לא זמין,סמארטפון,מסך מגע,12GB,לא זמין,4,6.7 אינטש,לא זמין,1440x3120‏ פיקסלים,לא זמין,120 Hz,LTPO AMOLED,IP68,לא זמין,ללא,לא זמין,לא זמין,כולל,כולל,3503,3850,אופציונאלי,5.2,"5,000 mAh",2
Apple,לא זמין,iOS,203 גרם,לא זמין,סמארטפון,מסך מגע,4GB,לא זמין,4,6.7 אינטש,לא זמין,1284x2778‏ פיקסלים,458 ppi,לא זמין,לא זמין,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 מגה פיקסלים,לא זמין,כולל,4190,4749,כולל,לא זמין,לא זמין,2
Xiaomi,2021,Android,178.8 גרם,Redmi Note 10S,סמארטפון,מסך מגע,6GB,2050 2000 MHz,4,6.43 אינטש,2 + 4 ליבות,1080x2400‏ פיקסלים,409 ppi,לא זמין,AMOLED,IP53,לא זמין,microSDXC,13‏ מגה פיקסל,64 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,780,969,אופציונאלי,5.1,"5,000 mAh",2
Samsung,לא זמין,Android,189 גרם,לא זמין,סמארטפון,מסך מגע,8GB,2000 2400 MHz,4,6.5 אינטש,לא זמין,1080x2400‏ פיקסלים,405 ppi,120 Hz,Super AMOLED,IP67,לא זמין,microSDXC,32‏ מגה פיקסל,64 + 12 + 5 + 5 צגה פיקסל,כולל,כולל,1390,1458,אופציונאלי,5.1,"5,000 mAh",2
Google,2020,Android,143 גרם,Pixel 4A,סמארטפון,מסך מגע,6GB,2200 1800 MHz,4,5.81 אינטש,2 + 6 ליבות,1080x2340‏ פיקסלים,443 ppi,לא זמין,OLED,ללא,שחור,ללא,8‏ מגה פיקסל,12.2 + 16 מגה פיקסל,כולל,כולל,999,1637,כולל,5.0,"3,140 mAh",2
Google,2021,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.4 אינטש,לא זמין,1080x2400‏ פיקסלים,411 ppi,90 Hz,AMOLED,IP68,שחור,ללא,8‏ מגה פיקסל,לא זמין,כולל,כולל,1566,2750,כולל,5.2,לא זמין,2
Samsung,2019,Android,150 גרם,Galaxy S10,סמארטפון,מסך מגע,6GB,2700 2300 1900 MHz,4,5.8 אינטש,2+2+4,1080x2280‏ פיקסלים,438 ppi,לא זמין,Dynamic AMOLED,IP68,לא זמין,Micro SD/T-Flash,10‏ מגה פיקסל,12 + 16 מגה פיקסלים,כולל,כולל,980,2350,כולל,5.0,"3,100 mAh",2
Xiaomi,לא זמין,Android,179 גרם,לא זמין,סמארטפון,מסך מגע,8GB,2000 2050 MHz,4,6.43 אינטש,לא זמין,1080x2400‏ פיקסלים,409 ppi,90 Hz,AMOLED,IP53,לא זמין,microSDXC,16‏ מגה פיקסל,108 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,845,1149,אופציונאלי,5.0,"5,000 mAh",2
Google,לא זמין,Android,212 גרם,לא זמין,סמארטפון,מסך מגע,12GB,לא זמין,4,6.7 אינטש,לא זמין,1440x3120‏ פיקסלים,לא זמין,120 Hz,LTPO AMOLED,IP68,לא זמין,ללא,לא זמין,לא זמין,כולל,כולל,3066,4099,אופציונאלי,5.2,"5,000 mAh",2
Samsung,2020,Android,222 גרם,Galaxy S20,סמארטפון,מסך מגע,12GB,2730 2600 2000 MHz,4,6.9 אינטש,2+2+4,1440x3200‏ פיקסלים,511 ppi,120 Hz,Dynamic AMOLED 2X,IP68,לא זמין,Micro SD/T-Flash,40‏ מגה פיקסל,108 + 48 + 12 מגה פיקסל,כולל,כולל,1739,2947,כולל,5.0,"5,000 mAh",2
Samsung,2021,Android,169 גרם,Galaxy S21,סמארטפון,מסך מגע,8GB,2900 2800 2200 MHz,5,6.2 אינטש,1+3+4,1080x2400‏ פיקסלים,421 ppi,120 Hz,Dynamic AMOLED 2X,IP68,לא זמין,ללא,10‏ מגה פיקסל,12 + 64 + 12 מגה פיקסל,כולל,כולל,1669,2048,כולל,5.0,"4,000 mAh",2
Apple,לא זמין,iOS,203 גרם,לא זמין,סמארטפון,מסך מגע,4GB,לא זמין,4,6.7 אינטש,לא זמין,1284x2778‏ פיקסלים,458 ppi,לא זמין,לא זמין,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 מגה פיקסלים,לא זמין,כולל,3790,4420,כולל,לא זמין,לא זמין,2
Apple,2020,iOS,189 גרם,iPhone 12 Pro,סמארטפון,מסך מגע,לא זמין,לא זמין,5,6.1 אינטש,6 ליבות,1170x2532‏ פיקסלים,460 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 + 12 מגה פיקסל,ללא,כולל,2720,5375,כולל,5.0,לא זמין,2
Samsung,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,2990,3378,לא זמין,לא זמין,לא זמין,2
Samsung,2021,Android,196 גרם,לא זמין,סמארטפון,מסך מגע,4GB,לא זמין,4,6.5 אינטש,לא זמין,720x1600‏ פיקסלים,270 ppi,לא זמין,PLS LCD,לא זמין,לא זמין,microSDXC,5‏ מגה פיקסל,לא זמין,לא זמין,כולל,432,599,ללא,5.0,"5,000 mAh",2
Samsung,2020,Android,196 גרם,Galaxy A02s,סמארטפון,מסך מגע,3GB,1800 MHz,4,6.5 אינטש,8 ליבות,720x1600‏ פיקסלים,270 ppi,לא זמין,לא זמין,ללא,לא זמין,Micro SD/T-Flash,5‏ מגה פיקסל,13 + 2 + 2 מגה פיקסל,ללא,כולל,2340,2340,ללא,4.2,"5,000 mAh",2
